TYPE,HUM,FEM,TIB,TIN,MAX,MIN,MMS,BC,STL
W,151,139,228,139,13,9.8,12.3,22,213
W,154,146,234,151,14.7,10.7,13.5,23,232
W,154,146,234,151,14.7,10.7,13.5,23,232
OT,146,133,207,141,19,14.4,17.2,28,127
OT,152,139,214,145,19,14,16.8,29,134
OT,147,133,198,132,18.1,12.5,16.1,26,134
OT,145,129,193,128,20,13.6,17.7,26,124
OT,144,130,200,135,18.5,13.8,16,27,132
W,158,144,238,151,13.1,9.7,11.9,23,222
W,156,141,233,156,14.7,10.2,13,22,218
OT,150,137,212,142,19.1,14.2,17.5,27,128
W,160,146,238,159,13.8,10.6,12.5,23,223
W,151,140,234,151,14.8,10.3,3.9,22,221
OT,148,134,206,141,18.9,13.5,16.6,26,125
OT,148,135,221,151,13.9,9.7,12.5,22,222
OT,152,139,228,153,14.4,9.9,12.8,23,208
OT,157,144,240,144,14.8,10.2,13.6,23,223
OT,158,146,247,159,14.5,10.4,13.3,23,229
OT,146,134,225,147,13,9.7,12.6,22,220
OT,151,137,232,151,13.4,8.9,11.8,20,220
W,146,133,225,148,13.2,9,11.7,20,206
W,154,140,236,150,14.2,10.2,12.8,21,211
W,151,135,227,155,13,8.9,11.8,20,211
W,150,137,231,150,14.1,10.4,12.7,22,219
W,153,137,234,160,14.2,10.2,13.1,21,222
W,156,143,237,152,14.6,10.2,13.2,22,229
W,144,134,221,145,13.7,9.2,12.5,21,220
OT,147,136,222,146,14.9,9.5,13.1,21,218
W,151,136,233,156,13.7,9,11.8,19,198
W,153,142,230,148,14.3,10.4,12.5,23,219
W,153,138,222,150,14.1,9.3,12.5,22,208
W,158,148,239,150,13.5,10.2,12.6,23,217
W,165,151,248,162,14,10.1,12.2,22,214
W,148,129,220,142,11.8,8.8,10.6,21,143
W,143,129,221,140,11.2,8.6,10.2,20,148
W,150,137,225,144,11.8,9,10.8,22,209
W,155,145,231,145,13,9.1,11.9,23,213
W,153,141,230,151,13.8,10.1,12.8,23,218
W,147,135,232,153,13.2,9.2,12.5,21,229
W,154,139,227,150,14.9,9.9,13,22,222
W,150,131,217,142,12.8,9.3,11.3,19,189
OT,142,130,211,135,14.9,9.8,13.5,22,196
OT,142,131,212,138,14.2,10.4,12.4,23,212
W,163,149,241,157,13.9,10.2,12.5,22,223
W,154,143,238,154,13.6,10.2,12.4,22,218
W,154,144,227,148,14.1,10,12.4,23,223
W,152,146,235,156,13.5,10,12.4,22,214
W,154,140,232,153,14.3,9.9,12.4,22,207
W,154,141,241,163,13.9,10.8,12.4,23,204
W,152,140,230,154,13.6,10.5,12.4,22,215
W,148,137,231,148,12.4,9.3,11.5,21,220
W,150,138,227,144,14.4,10.8,13,22,208
W,145,136,222,143,12.5,9.1,12,21,201
W,148,141,228,151,13.9,9.9,12.3,22,229
W,149,140,226,153,15.1,10.5,13.2,24,231
W,157,145,235,147,13.5,9.9,12.6,22,222
W,161,142,251,163,14.4,10.2,13.1,23,229
OT,159,143,236,148,13.6,9.8,12.2,23,214
OT,156,144,241,161,13.1,10,11.8,24,232
OT,141,131,210,131,12.2,9.1,11.2,21,197
OT,140,132,203,132,13.9,10.5,12.5,22,212
BB,154,132,208,133,19.3,14.1,17.4,30,166
BB,153,146,232,148,20.1,14.3,17.1,28,161
BB,157,142,220,141,18,13.4,16.8,30,162
BB,155,143,222,146,22,16.3,18.2,29,165
BB,154,141,228,146,20.6,14.5,17.5,30,155
BB,155,144,231,151,19.6,14.9,17.3,30,142
BB,160,149,231,149,20.1,14.3,16,29,148
BB,157,151,229,143,18.8,14.2,16.8,30,149
BB,155,148,227,140,20.4,14.7,17.8,28,153
BB,145,140,219,146,19.2,13.5,16.2,28,135
BB,160,150,230,135,19.3,14.8,17.6,29,158
BB,155,141,215,146,20.3,14.9,17.5,28,150
BB,154,136,217,140,20.7,13.7,16.1,31,142
BB,157,146,225,139,21.1,16.1,17.7,29,147
BB,158,146,230,144,20.4,15.4,17.1,29,160
BB,157,141,224,144,18.9,14.3,16.8,29,164
BB,154,146,227,144,19.1,14,16.1,30,156
BB,156,138,231,145,18.4,14.3,14.2,30,154
BB,165,150,235,152,18.9,13.7,15.8,31,158
BB,156,148,236,148,19.7,14.2,16.3,31,154
OT,143,132,212,133,14,9.4,11.6,23,212
OT,143,131,211,135,14.8,10.1,12.7,22,198
W,152,140,232,160,14.4,10.3,12.8,24,223
W,137,124,201,131,12,9,10.7,20,190
W,149,136,223,143,13,9.5,12.2,23,222
W,148,136,222,146,14,9.6,12.7,22,201
W,155,141,229,153,14.4,10,13,23,223
W,141,131,220,149,13.5,9.1,11.7,21,204
W,149,137,236,153,13.2,9.8,12.2,22,220
W,154,147,239,163,14,10.5,13.3,23,229
W,156,140,236,162,13.3,9.6,12,23,217
W,156,143,233,149,14,10.4,12.5,24,225
W,144,130,231,153,12.6,9.1,11.7,21,211
OT,164,148,242,155,14.4,10.5,13.1,25,226
OT,157,144,239,155,13.7,9.6,12.2,24,196
OT,154,142,229,149,14.7,10.3,12.8,24,205
OT,153,145,233,147,14.1,10.6,12.7,25,226
W,155,143,234,152,14.3,9.9,13,21,227
W,158,142,235,152,13.9,11.2,12.6,21,223
